Official tag,Category,Date sold,Sold to,Lot no,Final Live Weight Date,Final Live Wt kg,Cold Carcase Wt kg,Conf,Fat,Dead Wt Pence/kg
UK 362735 202098,Cattle,25/01/2022,Abattoir,6406,25/01/2022,584,304.8,R,4L,403
UK 362735 202126,Cattle,25/01/2022,Abattoir,6404,25/01/2022,590,328.3,R,3,403
UK 362735 302064,Cattle,25/01/2022,Abattoir,6410,25/01/2022,538,280.8,O+,4L,393
UK 362735 302078,Cattle,25/01/2022,Abattoir,6411,25/01/2022,608,315.9,R,4L,403
UK 362735 302141,Cattle,25/01/2022,Abattoir,6409,25/01/2022,636,324.3,R,4L,403
UK 362735 302148,Cattle,25/01/2022,Abattoir,6408,25/01/2022,652,339.5,R,3,403
UK 362735 402093,Cattle,25/01/2022,Abattoir,6412,25/01/2022,628,314.2,R,3,403
UK 362735 402135,Cattle,25/01/2022,Abattoir,6407,25/01/2022,624,339.1,R,3,403
UK 362735 702187,Cattle,25/01/2022,Abattoir,6405,25/01/2022,616,317.3,R,3,403
UK 362735 102160,Cattle,05/01/2022,Abattoir,2028,05/01/2022,632,338.5,R,3,403
UK 362735 502157,Cattle,05/01/2022,Abattoir,2017,05/01/2022,686,350.6,O+,3,393
UK 362735 602088,Cattle,05/01/2022,Abattoir,2018,05/01/2022,620,325.4,O+,4L,393
UK 362735 102118,Cattle,16/11/2021,Abattoir,1260,16/11/2021,652,351.2,R,4L,412
UK 362735 102174,Cattle,16/11/2021,Abattoir,1267,16/11/2021,606,341.2,R,2,412
UK 362735 102188,Cattle,16/11/2021,Abattoir,1266,16/11/2021,640,336.9,R,3,412
UK 362735 202112,Cattle,16/11/2021,Abattoir,1262,16/11/2021,630,346.5,R,4L,412
UK 362735 302169,Cattle,16/11/2021,Abattoir,1270,16/11/2021,650,359.1,R,3,412
UK 362735 402177,Cattle,16/11/2021,Abattoir,1263,16/11/2021,620,321.4,O+,4L,402
UK 362735 402184,Cattle,16/11/2021,Abattoir,1264,16/11/2021,616,327.5,R,4L,412
UK 362735 602158,Cattle,16/11/2021,Abattoir,1261,16/11/2021,638,341.4,U-,3,420
UK 362735 602179,Cattle,16/11/2021,Abattoir,1269,16/11/2021,646,355.9,U-,2,412
UK 362735 202147,Cattle,12/11/2021,Abattoir,724,12/11/2021,622,323.6,O+,4L,400
UK 362735 302155,Cattle,12/11/2021,Abattoir,722,12/11/2021,580,303.4,O+,3,400
UK 362735 602081,Cattle,12/11/2021,Abattoir,726,12/11/2021,656,332.6,O+,2,390
UK 362735 602116,Cattle,12/11/2021,Abattoir,737,12/11/2021,666,319.3,O+,4L,400
UK 362735 602144,Cattle,12/11/2021,Abattoir,740,12/11/2021,656,345.6,R,2,410
UK 362735 602165,Cattle,12/11/2021,Abattoir,728,12/11/2021,622,308.7,R,3,410
UK 362735 202154,Cattle,26/10/2021,Abattoir,5881,26/10/2021,534,267.5,O+,4L,396
UK 362735 202175,Cattle,26/10/2021,Abattoir,5882,26/10/2021,638,327.3,O+,3,396
UK 362735 202182,Cattle,26/10/2021,Abattoir,5877,26/10/2021,566,294.6,O+,4L,396
UK 362735 302120,Cattle,26/10/2021,Abattoir,5874,26/10/2021,550,284.4,O+,4H,391
UK 362735 302162,Cattle,26/10/2021,Abattoir,5884,26/10/2021,556,284.4,O+,4H,391
UK 362735 302176,Cattle,26/10/2021,Abattoir,5883,26/10/2021,636,342.4,R,3,406
UK 362735 302190,Cattle,26/10/2021,Abattoir,5878,26/10/2021,552,284,O+,4L,396
UK 362735 502178,Cattle,26/10/2021,Abattoir,5876,26/10/2021,654,342.4,R,3,406
UK 362735 602137,Cattle,26/10/2021,Abattoir,5875,26/10/2021,550,288.5,O+,4H,391
UK 362735 702131,Cattle,26/10/2021,Abattoir,5879,26/10/2021,644,325.6,O+,3,396
UK 362735 702194,Cattle,26/10/2021,Abattoir,5880,26/10/2021,590,298.1,O+,3,396
UK 362735 102083,Cattle,28/09/2021,Abattoir,8739,28/09/2021,608,323.6,O+,4L,396
UK 362735 102139,Cattle,28/09/2021,Abattoir,8740,28/09/2021,560,292.4,O+,4L,396
UK 362735 202077,Cattle,28/09/2021,Abattoir,8742,28/09/2021,604,313.2,O+,3,396
UK 362735 302071,Cattle,28/09/2021,Abattoir,8741,28/09/2021,638,343.4,O+,3,396
UK 362735 502108,Cattle,28/09/2021,Abattoir,8744,28/09/2021,596,327.3,R,4L,406
UK 362735 502150,Cattle,28/09/2021,Abattoir,8738,28/09/2021,546,282,O+,4L,396
UK 362735 602095,Cattle,28/09/2021,Abattoir,8748,28/09/2021,632,331.4,O+,3,396
UK 362735 702159,Cattle,28/09/2021,Abattoir,8747,28/09/2021,634,334.6,R,3,406
UK 362735 102125,Cattle,01/09/2021,Abattoir,2622,01/09/2021,614,328.9,O+,3,396
UK 362735 202084,Cattle,01/09/2021,Abattoir,2615,01/09/2021,554,296.2,R,4H,401
UK 362735 302127,Cattle,01/09/2021,Abattoir,2621,01/09/2021,632,349.7,U-,3,414
UK 362735 302134,Cattle,01/09/2021,Abattoir,2619,01/09/2021,598,332.2,R,3,406
UK 362735 402086,Cattle,01/09/2021,Abattoir,2616,01/09/2021,636,361,R,2,406
UK 362735 502129,Cattle,01/09/2021,Abattoir,2618,01/09/2021,652,330,R,3,406
UK 362735 602074,Cattle,01/09/2021,Abattoir,2620,01/09/2021,624,327.2,R,2,406
UK 362735 602130,Cattle,01/09/2021,Abattoir,2623,01/09/2021,646,338.9,R,3,406
UK 362735 602151,Cattle,01/09/2021,Abattoir,2624,01/09/2021,606,309.1,O+,4L,396
UK 362735 702166,Cattle,01/09/2021,Abattoir,2617,01/09/2021,442,232.9,O+,2,356
UK 362735 102097,Cattle,22/07/2021,Abattoir,3954,22/07/2021,618,346.5,R,3,397
UK 362735 502094,Cattle,26/04/2021,Abattoir,3109,26/04/2021,534,280,O+,4L,390
UK 362735 602060,Cattle,26/04/2021,Abattoir,3105,26/04/2021,660,320.7,R,3,400
