Official tag,Category,Date sold,Sold to,Lot no,Final Live Weight Date,Final Live Wt kg,Cold Carcase Wt kg,Conf,Fat,Dead Wt Pence/kg
UK 362735 701816,Cattle,14/08/2019,Dawn Meats,NA,14/08/2019,588,294,R,4L,320
UK 362735 501800,Cattle,14/05/2019,Dawn Meats,NA,13/05/2019,534,280.1,O+,4L,329
UK 362735 701781,Cattle,14/05/2019,Dawn Meats,NA,13/05/2019,556,285.8,R,4L,344
UK 362735 301742,Cattle,08/01/2019,DAWN MEATS,NA,08/01/2019,622,314.2,R,4H,348
UK 362735 501716,Cattle,08/01/2019,DAWN MEATS,NA,08/01/2019,632,321.6,O+,4H,333
UK 362735 601661,Cattle,08/01/2019,Sold to NW farm,NA,08/01/2019,578,NA,NA,NA,NA
UK 362735 601745,Cattle,08/01/2019,DAWN MEATS,NA,08/01/2019,646,322,O+,3,338
UK 362735 701655,Cattle,08/01/2019,DAWN MEATS,NA,08/01/2019,604,316,O+,4H,333
UK 362735 701725,Cattle,12/12/2018,DAWN MEATS,NA,12/12/2018,682,347.1,R,4L,348
UK 362735 701732,Cattle,12/12/2018,DAWN MEATS,NA,12/12/2018,678,342,O+,4L,338
UK 362735 101719,Cattle,05/12/2018,DAWN MEATS,NA,05/12/2018,604,296.6,R,4L,352
UK 362735 501730,Cattle,05/12/2018,DAWN MEATS,NA,05/12/2018,598,313.8,R,4L,352
UK 362735 501744,Cattle,05/12/2018,DAWN MEATS,NA,05/12/2018,564,286.4,O+,5L,292
UK 362735 601731,Cattle,05/12/2018,DAWN MEATS,NA,05/12/2018,592,311.4,R,4L,352
UK 362735 701662,Cattle,05/12/2018,DAWN MEATS,NA,05/12/2018,668,318.1,R,4L,352
UK 362735 701690,Cattle,05/12/2018,DAWN MEATS,NA,05/12/2018,592,289.3,O+,4L,342
UK 362735 701704,Cattle,05/12/2018,DAWN MEATS,NA,05/12/2018,644,329.2,R,4L,352
UK 362735 701711,Cattle,05/12/2018,DAWN MEATS,NA,05/12/2018,662,317.2,O+,4L,342
UK 362735 101705,Cattle,20/11/2018,DAWN MEATS,NA,20/11/2018,652,332.4,R,4L,356
UK 362735 201727,Cattle,20/11/2018,DAWN MEATS,NA,20/11/2018,668,329.1,R,4L,356
UK 362735 301721,Cattle,20/11/2018,DAWN MEATS,NA,20/11/2018,606,300.7,R,4L,356
UK 362735 401680,Cattle,20/11/2018,DAWN MEATS,NA,20/11/2018,586,285.8,R,4H,356
UK 362735 401687,Cattle,20/11/2018,DAWN MEATS,NA,20/11/2018,658,320.4,O+,4L,346
UK 362735 401722,Cattle,20/11/2018,DAWN MEATS,NA,20/11/2018,692,345.4,R,4L,356
UK 362735 501709,Cattle,20/11/2018,DAWN MEATS,NA,20/11/2018,646,333,R,3,356
UK 362735 101726,Cattle,25/10/2018,DAWN MEATS,NA,25/10/2018,610,296.9,O+,4L,352
UK 362735 201657,Cattle,25/10/2018,DAWN MEATS,NA,25/10/2018,578,292,O+,4L,354
UK 362735 301672,Cattle,25/10/2018,DAWN MEATS,NA,25/10/2018,660,329.6,O+,4L,352
UK 362735 401645,Cattle,25/10/2018,DAWN MEATS,NA,25/10/2018,604,313.8,R,4L,364
UK 362735 401715,Cattle,25/10/2018,DAWN MEATS,NA,25/10/2018,564,287.4,R,4L,362
UK 362735 401743,Cattle,25/10/2018,DAWN MEATS,NA,25/10/2018,628,319.3,R,4L,362
UK 362735 601668,Cattle,25/10/2018,DAWN MEATS,NA,25/10/2018,692,363.6,R,4L,362
UK 362735 601689,Cattle,25/10/2018,DAWN MEATS,NA,25/10/2018,602,297.9,O+,4H,347
UK 362735 601717,Cattle,25/10/2018,DAWN MEATS,NA,25/10/2018,692,348.5,O+,4L,365
UK 362735 201706,Cattle,19/09/2018,DAWN MEATS,NA,19/09/2018,656,318,O+,3,362
UK 362735 301658,Cattle,19/09/2018,DAWN MEATS,NA,19/09/2018,628,306.3,O+,3,362
UK 362735 401659,Cattle,19/09/2018,DAWN MEATS,NA,19/09/2018,676,323.4,R,2,367
UK 362735 501646,Cattle,19/09/2018,DAWN MEATS,NA,19/09/2018,646,333.4,R,3,372
UK 362735 501667,Cattle,19/09/2018,DAWN MEATS,NA,19/09/2018,672,350.6,O+,3,362
UK 362735 601682,Cattle,19/09/2018,DAWN MEATS,NA,19/09/2018,684,347.9,R,3,372
UK 362735 301686,Cattle,12/09/2018,DAWN MEATS,NA,12/09/2018,554,277.1,R,4H,365
UK 362735 301728,Cattle,12/09/2018,DAWN MEATS,NA,12/09/2018,552,269.5,O+,4L,360
UK 362735 401708,Cattle,12/09/2018,DAWN MEATS,NA,12/09/2018,572,276.8,O+,4L,360
UK 362735 601675,Cattle,12/09/2018,DAWN MEATS,NA,12/09/2018,598,304.7,O+,4L,360
UK 362735 601710,Cattle,12/09/2018,DAWN MEATS,NA,12/09/2018,578,280.3,O+,4L,360
UK 362735 701669,Cattle,12/09/2018,DAWN MEATS,NA,12/09/2018,552,277,R,4H,365
UK 362735 201650,Cattle,29/08/2018,DAWN MEATS,NA,29/08/2018,606,307.9,R,4L,360
UK 362735 301735,Cattle,29/08/2018,DAWN MEATS,NA,29/08/2018,544,266.2,O+,4L,350
UK 362735 501695,Cattle,29/08/2018,DAWN MEATS,NA,29/08/2018,612,325.8,O+,4H,340
UK 362735 101684,Cattle,21/08/2018,DAWN MEATS,NA,21/08/2018,610,301.7,O+,4H,338
UK 362735 201699,Cattle,21/08/2018,DAWN MEATS,NA,21/08/2018,578,289.1,O+,4L,348
UK 362735 301679,Cattle,21/08/2018,DAWN MEATS,NA,21/08/2018,652,338.3,R,4L,358
UK 362735 301700,Cattle,21/08/2018,DAWN MEATS,NA,21/08/2018,602,288,O+,4H,338
UK 362735 401666,Cattle,21/08/2018,DAWN MEATS,NA,21/08/2018,548,260.8,O+,4H,338
UK 362735 601703,Cattle,21/08/2018,DAWN MEATS,NA,21/08/2018,586,287.6,O+,4H,338
UK 362735 101649,Cattle,09/08/2018,DAWN MEATS,NA,09/08/2018,606,310.2,O+,4L,338
UK 362735 101663,Cattle,09/08/2018,DAWN MEATS,NA,09/08/2018,686,341.6,R,3,348
UK 362735 101677,Cattle,09/08/2018,DAWN MEATS,NA,09/08/2018,628,320,R,4L,348
UK 362735 401673,Cattle,09/08/2018,DAWN MEATS,NA,09/08/2018,552,267.6,R,4H,348
UK 362735 501653,Cattle,09/08/2018,DAWN MEATS,NA,09/08/2018,628,319.5,R,4L,348
UK 362735 501660,Cattle,09/08/2018,DAWN MEATS,NA,09/08/2018,734,361.2,R,4L,348
UK 362735 601654,Cattle,09/08/2018,DAWN MEATS,NA,09/08/2018,608,295.4,R,4L,348
UK 362735 701697,Cattle,09/08/2018,DAWN MEATS,NA,09/08/2018,620,306.6,O+,4L,338
UK 362735 101670,Cattle,06/06/2018,Sold to NW farm,NA,06/06/2018,NA,NA,NA,NA,NA
UK 362735 301616,Cattle,19/04/2018,Dawn Meats,NA,19/04/2018,638,332.4,R,4L,362
UK 362735 501597,Cattle,19/04/2018,Dawn Meats,NA,19/04/2018,510,299.7,U-,2,370
UK 362735 701627,Cattle,21/03/2018,Dawn Meats,NA,21/03/2018,614,311,R,4L,356
UK 362735 401624,Cattle,28/02/2018,Dawn Meats,NA,28/02/2018,728,391.6,R,4L,355
UK 362735 701620,Cattle,28/02/2018,Dawn Meats,NA,28/02/2018,566,292.2,O+,3,345
UK 362735 701634,Cattle,28/02/2018,Dawn Meats,NA,28/02/2018,613,333.4,R,4L,355
UK 362735 201601,Cattle,14/02/2018,Dawn Meats,NA,14/02/2018,674,337.9,O+,4L,347
UK 362735 301637,Cattle,14/02/2018,Dawn Meats,NA,14/02/2018,662,349.5,R,3,357
UK 362735 401610,Cattle,14/02/2018,Dawn Meats,NA,14/02/2018,570,290.9,R,4L,357
UK 362735 601626,Cattle,14/02/2018,Dawn Meats,NA,14/02/2018,610,322.4,R,3,357
UK 362735 701599,Cattle,14/02/2018,Dawn Meats,NA,14/02/2018,636,313,O+,3,347
UK 362735 301609,Cattle,17/01/2018,Dawn Meats,NA,17/01/2018,704,361.4,O+,4L,350
UK 362735 401561,Cattle,17/01/2018,Dawn Meats,NA,17/01/2018,710,369.1,R,4L,360
UK 362735 701613,Cattle,17/01/2018,Dawn Meats,NA,17/01/2018,664,342.8,R,4H,355
UK 362735 101600,Cattle,10/01/2018,Dawn Meats,NA,10/01/2018,680,347,R,3,362
UK 362735 101621,Cattle,10/01/2018,Dawn Meats,NA,10/01/2018,656,342.4,R,4L,362
UK 362735 501604,Cattle,10/01/2018,Dawn Meats,NA,10/01/2018,544,280.5,R,4L,362
UK 362735 601605,Cattle,10/01/2018,Dawn Meats,NA,10/01/2018,586,298.7,R,4H,362
